Model,Accuracy,Precision,Recall,F1-Score
Random Forest,0.9863013698630136,0.9931506849315068,0.9863013698630136,0.9885365775776734
XGBoost,0.9863013698630136,0.9931506849315068,0.9863013698630136,0.9885365775776734
SVM,1.0,1.0,1.0,1.0
